x,y,t,id
-73.8092796,42.7261367,2011-01-21T21:46:10Z,1469
-73.8091748,42.7262063,2011-01-21T21:48:36Z,1469
-73.8091969,42.7261738,2011-01-21T21:54:35Z,1469
-73.8090823,42.7262286,2011-01-21T21:56:40Z,1469
-73.8089841,42.7262423,2011-01-21T21:58:12Z,1469
-73.8091894,42.7260988,2011-01-21T22:10:14Z,1469
-73.8092974,42.7261835,2011-01-21T22:58:22Z,1469
-73.8068685,42.7256334,2011-01-21T23:03:07Z,1469
-73.8068979,42.7256505,2011-01-21T23:05:31Z,1469
-73.8069432,42.7256608,2011-01-21T23:06:40Z,1469
-73.8068717,42.7255708,2011-01-21T23:08:07Z,1469
-73.8068834,42.7256091,2011-01-21T23:10:08Z,1469
-73.8069204,42.7256731,2011-01-21T23:12:07Z,1469
-73.8069715,42.7256911,2011-01-21T23:14:09Z,1469
-73.8068603,42.7256192,2011-01-21T23:17:10Z,1469
-73.8068486,42.7256486,2011-01-21T23:20:09Z,1469
-73.806928,42.7256961,2011-01-21T23:30:27Z,1469
-73.8066539,42.7256868,2011-01-21T23:32:11Z,1469
-73.8068371,42.7256514,2011-01-21T23:34:05Z,1469
-73.8068595,42.7256611,2011-01-21T23:37:22Z,1469
-73.8067625,42.725581,2011-01-21T23:42:29Z,1469
-73.8068902,42.7256427,2011-01-21T23:45:08Z,1469
-73.8068874,42.7256255,2011-01-21T23:46:07Z,1469
-73.8071806,42.7256811,2011-01-21T23:53:25Z,1469
-73.8072342,42.725866,2011-01-21T23:54:06Z,1469
-73.8084655,42.7260198,2011-01-21T23:57:09Z,1469
-73.8087113,42.7259831,2011-01-22T00:00:14Z,1469
-73.8090177,42.7260285,2011-01-22T00:02:49Z,1469
-73.8089846,42.7259282,2011-01-22T00:04:09Z,1469
-73.8089174,42.7259915,2011-01-22T00:06:08Z,1469
-73.8090917,42.7262318,2011-01-22T00:08:08Z,1469
-73.8091579,42.726119,2011-01-22T00:10:08Z,1469
-73.8091972,42.7262639,2011-01-22T00:12:13Z,1469
-73.8091562,42.7261349,2011-01-22T00:14:09Z,1469
-73.8091341,42.7261742,2011-01-22T00:16:08Z,1469
-73.8091858,42.7261418,2011-01-22T00:18:13Z,1469
-73.809161,42.7262091,2011-01-22T00:20:06Z,1469
-73.809151,42.7262358,2011-01-22T00:22:06Z,1469
-73.8091988,42.726251,2011-01-22T00:30:11Z,1469
-73.8092002,42.7261805,2011-01-22T00:40:26Z,1469
-73.8091788,42.7259811,2011-01-22T01:00:31Z,1469
-73.8091994,42.726145,2011-01-22T02:00:56Z,1469
-73.8091261,42.7261943,2011-01-22T03:00:56Z,1469
-73.8091853,42.7262051,2011-01-22T03:40:15Z,1469
-73.8093376,42.7262266,2011-01-22T03:50:22Z,1469
-73.8090226,42.7263039,2011-01-22T04:01:38Z,1469
-73.8090658,42.7261414,2011-01-22T04:10:52Z,1469
-73.8090825,42.726195,2011-01-22T05:00:45Z,1469
-73.8091874,42.7262983,2011-01-22T05:06:35Z,1469
-73.8092062,42.7262393,2011-01-22T05:10:06Z,1469
-73.8092374,42.7263396,2011-01-22T05:12:16Z,1469
-73.8090637,42.7262838,2011-01-22T05:16:13Z,1469
-73.8091086,42.726318,2011-01-22T05:20:16Z,1469
-73.8090888,42.7259957,2011-01-22T05:22:05Z,1469
-73.8090465,42.7264889,2011-01-22T05:24:07Z,1469
-73.8092714,42.7260285,2011-01-22T05:26:10Z,1469
-73.8090851,42.7262925,2011-01-22T05:30:23Z,1469
-73.8092034,42.7262109,2011-01-22T05:34:17Z,1469
-73.8089112,42.7259394,2011-01-22T05:40:24Z,1469
-73.8086137,42.7256588,2011-01-22T05:48:40Z,1469
-73.8087269,42.7263997,2011-01-22T05:54:18Z,1469
-73.809838,42.7270684,2011-01-22T05:58:16Z,1469
-73.810819,42.7275557,2011-01-22T06:00:54Z,1469
-73.8110884,42.7280988,2011-01-22T06:04:09Z,1469
-73.8110996,42.7281412,2011-01-22T06:08:40Z,1469
-73.8120035,42.7283045,2011-01-22T06:10:17Z,1469
-73.8109675,42.7278473,2011-01-22T06:16:16Z,1469
